N,M,del,Time Approximation,Time run calculation,Approx Permanent,Calc Permanent,Relative Error
9,3,0.1,0.017945528030395508,1.1805126667022705,343462.14595953695,343403.07064637216,0.00017202907665793304
9,3,0.2,0.020954370498657227,1.1572513580322266,350645.6815376793,347657.9151606422,0.008593983472680448
9,3,0.3,0.01807260513305664,1.1588799953460693,311197.3620154517,307928.62907869136,0.010615229076102
9,3,0.4,0.016972064971923828,1.1677067279815674,388997.74314783176,390346.64169289067,0.0034556427569323624
9,3,0.5,0.01734185218811035,1.1304922103881836,251864.49408494704,235418.19395353863,0.06985993671608151
9,3,0.6,0.017273664474487305,1.1395611763000488,433392.42359488225,389585.0143729204,0.11244634060803049
9,3,0.7,0.019640445709228516,1.152151107788086,444465.61292442225,414139.39213538915,0.07322708577096416
9,3,0.8,0.017406940460205078,1.1883304119110107,249738.89876352318,230895.59332596848,0.0816096364860135
9,3,0.9,0.021591901779174805,1.1682920455932617,636929.9007414264,633046.7738616175,0.006134028384856257
10,3,0.1,0.05469155311584473,12.94924521446228,3544625.68383971,3542126.2784378533,0.0007056228957932366
10,3,0.2,0.03216361999511719,12.677282333374023,4329450.027081832,4320439.672006704,0.002085518085927435
10,3,0.3,0.04270362854003906,12.863530158996582,4138608.102522391,4114613.966525052,0.005831442801814685
10,3,0.4,0.0341184139251709,12.96267318725586,6948490.761814409,7398183.493815631,0.060784209039574884
10,3,0.5,0.045122385025024414,12.377932071685791,3773276.7272076868,3681922.045676624,0.02481168270206401
10,3,0.6,0.03470015525817871,12.501465797424316,3171206.445242137,2917897.61936489,0.08681210204091487
10,3,0.7,0.035927772521972656,12.473589420318604,5897536.882493091,6049759.067567355,0.025161693775595868
10,3,0.8,0.03456473350524902,12.839604616165161,5914734.5217767665,6226648.265720736,0.05009336173060124
10,3,0.9,0.04853367805480957,12.623564720153809,4117537.377146269,3643830.728504669,0.1300023749555449
4,3,0.1,0.0009925365447998047,0.0001709461212158203,25.5662464071699,25.541933359921664,0.0009518875061503753
5,3,0.1,0.0007307529449462891,0.0007948875427246094,120.35526974382667,120.3883505843578,0.0002747843987441888
6,3,0.1,0.002279043197631836,0.0018193721771240234,713.0431838196719,709.6187860340684,0.00482568648547453
7,3,0.1,0.004103422164916992,0.016452312469482422,4885.902667124713,4879.261471865696,0.0013611066546260651
8,3,0.1,0.008681535720825195,0.11852359771728516,39097.96415752449,38994.94310803254,0.002641907931665395
9,3,0.1,0.017945528030395508,1.1805126667022705,343462.14595953695,343403.07064637216,0.00017202907665793304
10,3,0.1,0.05469155311584473,12.94924521446228,3544625.68383971,3542126.2784378533,0.0007056228957932366
11,3,0.1,0.06163477897644043,150.21361827850342,40674490.714431524,40626073.374016866,0.00119177996772940314
4,3,0.5,0.0010113716125488281,0.0003368854522705078,14.889446471127465,14.485426109232094,0.02789150687378637
5,3,0.5,0.0008928775787353516,0.0003414154052734375,162.47178413830395,164.3119254016603,0.011199073097452427
6,3,0.5,0.002017974853515625,0.0017132759094238281,828.9260765845032,793.2662180160172,0.04495320455933747
7,3,0.5,0.008124828338623047,0.012180566787719727,7472.248803538065,7763.950821392702,0.037571337655937335
8,3,0.5,0.008343696594238281,0.11458969116210938,37739.09774890728,37584.6048800174,0.004110535933078788
9,3,0.5,0.01944446563720703,1.1188392639160156,459923.72490233823,459321.5507230081,0.0013110078949752075
10,3,0.5,0.03404092788696289,13.290806293487549,2979850.6880321773,2849306.542221592,0.045816111350658946
11,3,0.5,0.0612640380859375,163.75893759727478,46971579.60471465,46244715.86701894,0.015717768485936305
4,3,0.9,0.0004963874816894531,0.00019621849060058594,8.904692583251158,8.356225036216552,0.06563580380584583
5,3,0.9,0.0009560585021972656,0.0006072521209716797,52.73066888959816,54.17557714387284,0.026670841926380896
6,3,0.9,0.00411677360534668,0.0021469593048095703,1036.7872330844398,993.3079577545683,0.04377220074644219
7,3,0.9,0.004170894622802734,0.017716407775878906,8426.23782784619,8301.218685852858,0.015060335924698801
8,3,0.9,0.014511585235595703,0.12673521041870117,41465.01953121864,37566.54388324992,0.10377520114931209
9,3,0.9,0.02079319953918457,1.2350194454193115,163100.20695773308,176151.32055029325,0.07409035340631423
10,3,0.9,0.06248044967651367,13.804274797439575,5394719.121596135,4856550.27726503,0.11081298732774068
11,3,0.9,0.07366442680358887,191.5263488292694,30184280.068729464,26852503.143093485,0.12407695878039281
4,3,1,0.0004935264587402344,0.0001850128173828125,10.478757646077486,0.0,inf
5,3,1,0.0017876625061035156,0.0009779930114746094,374.46252933906834,256.0,0.4627442552307357
6,3,1,0.0018541812896728516,0.0015735626220703125,698.3327137488227,704.0,0.00805012251587685
7,3,1,0.007318019866943359,0.013397216796875,3088.242210836973,4224.0,0.2688820523586712